"year","raw_file","original_download_file","total_monthly_wage","year_assignment_basis"
"2015","raw_wages_2015.csv","94709619bac8268b05ff8f22de53740d_export.csv","27947","已以行政院主計總處表5（民國104年8月底）總計月薪核對一致"
"2016","raw_wages_2016.csv","882060804a9c49c67c3039f10fb3b1ef_export.csv","28329","已以行政院主計總處表5（民國105年8月底）總計月薪核對一致"
"2017","raw_wages_2017.csv","24f1bd06ed2b9b15274323c1cfbff999_export.csv","29986","已以行政院主計總處表5（民國106年8月底）總計月薪核對一致"
"2018","raw_wages_2018.csv","e5428db2127b3ebbac8df5a103f54d6c_export.csv","31615","已以行政院主計總處表5（民國107年8月底）總計月薪核對一致"
"2019","raw_wages_2019.csv","6e6c0570964fcb95208b7846e804b88c_export.csv","32670","已以行政院主計總處表5（民國108年8月底）總計月薪核對一致"
"2020","raw_wages_2020.csv","c8f1ae5fb051a5108cc7e34898e05d13_export.csv","32894","已以行政院主計總處表5（民國109年8月底）總計月薪核對一致"
"2021","raw_wages_2021.csv","37c696c27b85504e93191dc5ff670066_export.csv","33554","已以行政院主計總處表5（民國110年8月底）總計月薪核對一致"
"2022","raw_wages_2022.csv","6b83976296615fbb7f1e400dd443a5fa_export.csv","34248","已以行政院主計總處表5（民國111年8月底）總計月薪核對一致"
"2023","raw_wages_2023.csv","78fe3adc04094ba94c710b542355f36a_export.csv","34829","已以行政院主計總處表5（民國112年8月底）總計月薪核對一致"
"2024","raw_wages_2024.csv","b7775a97f26c92a626fa72e6589ff8c4_export.csv","35964","已以行政院主計總處表5（民國113年8月底）總計月薪核對一致"
