year,supervisor_wage,grassroots_wage,wage_gap,wage_ratio,supervisor_growth,grassroots_growth,ratio_change_pct
2016,50745,22589,28156,2.24644738589579,NA,NA,NA
2017,50876,22915,27961,2.2202051058258783,0.258153512661341,1.4431803089999473,-1.1681680254197135
2018,55558,23948,31610,2.3199432102889594,9.202767513169263,4.507964215579308,4.492292365302908
2019,54108,24669,29439,2.193360087559285,-2.609885165052739,3.0106898279605776,-5.4563026443180895
2020,55143,25601,29542,2.1539392992461233,1.9128409846972616,3.778020998013698,-1.7972784558612176
2021,53240,25936,27304,2.052745219000617,-3.4510273289447446,1.3085426350533114,-4.6980934087104576
2022,54832,26704,28128,2.0533253445176753,2.990232907588286,2.961135101789014,0.028260960575554606
2023,55834,27172,28662,2.0548358604445753,1.8274000583600847,1.7525464349910091,0.07356437356276224
2024,57003,28863,28140,1.9749506288327616,2.0937063438048575,6.223318121595756,-3.8876697233875435
